1	
240	T3R-ALPHA
241	ZNF826
242	MTERF
243	ZNF702
244	OC-2
245	HFH3 (FOXI1)
246	PET-1
247	IK-1
248	IK-2
249	NEUROD
250	FAC1
251	IK-3
252	COUPTF
253	BTEB3
254	KID3
255	STAT
256	MATH1
257	ATF
258	GSCL
259	HNF3A
260	ZEB
261	N-MYC
262	ZEC
263	ZNF322A
264	PXR (PXR
265	HB9
266	ZF5
267	GABP
268	AML2
269	TCF7RELATED
270	AML1
271	SIP1
272	ARP-1 (COUP-TF2)
273	HTF (XBP1)
274	ZABC1
275	P53 DECAMER
276	PSF
277	ZFP
278	ZER6
279	EVI-1
280	TFEA
281	GAF
282	MYOGENIN / NF-1
283	OCT-X
284	MEIS-2
285	HZF12
286	PUR1
287	HAIRYLIKE
288	ESE-1
289	CART-1
290	RXR
291	CDP CR1
292	CT53
293	RFX1 (EF-C)
294	CDP CR3
295	AREB6
296	TTF1 (NKX2-1)
297	MIBP1
298	OCT-1
299	RPC155
300	TST-1
301	RXR, LXR, PXR, CAR, RAR, COUP
302	HEB
303	ALPHA-CP1
304	DMRT5
305	P50
306	DMRT4
307	DMRT7
308	P53
309	LXR; FXR
310	GCM
311	ZID
312	OSX
313	TGIF
314	GSH2
315	RXR)
316	BMAL1
317	TORC2
318	KLF
319	FREAC-7
320	DUX1
321	FREAC-2
322	DUX3
323	FREAC-3
324	FREAC-4
325	DP-1
326	ROAZ
327	DP-2
328	OTX
329	LKLF
330	OCA-B
331	TFII-I
332	KOX1
333	NF-MUE1
334	E2F-8
335	CAR_RXR (DIMER)
336	A-MYB
337	TCF-1
338	VBP
339	P73
340	K-2B
341	FKHL5
342	NRSE
343	NRSF
344	ZNF96
345	ZN337
346	EWSR1-FLI1
347	C-ETS
348	HEN2
349	HEN1
350	TAL-1BETA
351	EBF
352	ITF-2
353	ZIPRO1
354	GCMA
355	PPAR DIRECT REPEAT 1
356	C-ETS-1 (ETS1)
357	FXR INVERTED REPEAT 1
358	HNF3ALPHA
359	EBOX
360	C-MAF
361	SMAD8
362	REV-ERBAALPHA
363	DRRS
364	AMEF-2
365	GIOT-1
366	ZSCAN5
367	CKROX
368	CREB, ATF
369	ER-BETA
370	NOR1
371	C-ETS-1(P54)
372	TRF1
373	MEF-2
374	MYOGENIN
375	GSH-1
376	VDR, CAR, PXR
377	OCT-4 (POU5F1)
378	WHN
379	EAR2
380	ZNF75CP
381	NF-KAPPAB (P50)
382	OTX3
383	ISGF-3
384	NR1B2
385	NR1B1
386	ERR2
387	ERR3
388	TFIIA
389	TFIIB
390	TEL1
391	GCNF
392	OZF
393	AIOLOS
394	HOXA5 (HOX-1.3)
395	PARP
396	T-BET
397	TWIST
398	NFAT
399	NGFI-C
400	SC-1
401	SRE-ZBP
402	FKHL14
403	SUHW1
404	CHOP-10
405	SMAD
406	ZNFPT1
407	MOX1
408	RSRFC4
409	DEC
410	LYF-1
411	ZNF816A
412	RBP-JKAPPA
413	BRN-2
414	CTIP-2
415	T3R-BETA
416	BRN-4
417	MAZR
418	EGR
419	NUR77
420	VIK
